Session_Frequency,Total_Duration,Total_Traffic
1,116836860.0,878690574.0
1,181412193.0,156859643.0
1,135104343.0,595966483.0
1,49927902.0,422320698.0
2,37141557.0,1457410944.0
2,254237060.0,615217221.0
2,128488883.0,654723066.0
1,86486376.0,332660357.0
2,496197849.0,990132189.0
1,124979632.0,732463761.0
1,248672513.0,114976036.0
1,38454617.0,630092434.0
1,97460567.0,482419082.0
1,242559588.0,358911900.0
1,170149740.0,230324396.0
1,34578633.0,541779966.0
1,91844976.0,697559667.0
1,55786383.0,637053075.0
1,21807035.0,718452416.0
1,74968379.0,647203715.0
2,73749076.0,1632760645.0
2,226980301.0,1122862615.0
1,135800178.0,418991822.0
1,100471474.0,159264496.0
1,98435728.0,460886348.0
1,79177300.0,599733815.0
1,82927585.0,846693854.0
1,254126364.0,272021271.0
1,31810772.0,250441008.0
3,162340605.0,1939526921.0
1,29075653.0,175382988.0
2,138870656.0,413792006.0
1,93397714.0,786678318.0
2,330083388.0,1449852718.0
2,205614271.0,461634852.0
1,171078608.0,597412570.0
1,10543185.0,769716233.0
2,139914612.0,1102608710.0
1,186630530.0,720766230.0
1,12855128.0,692598460.0
1,86486366.0,115294379.0
1,32770120.0,373706286.0
2,193668217.0,1175215072.0
2,205947645.0,1025204491.0
2,71850514.0,877844226.0
1,231445090.0,798276154.0
1,138541198.0,617566567.0
1,86486202.0,553411163.0
2,52818998.0,1120386688.0
1,61901898.0,101868586.0
1,205680044.0,675056386.0
2,108067784.0,1511483348.0
2,226019292.0,1513372152.0
1,153547852.0,162930783.0
1,91763675.0,363047534.0
1,32676593.0,319381145.0
1,56544685.0,719744746.0
3,263381622.0,1717313534.0
1,88818325.0,376686401.0
1,81511788.0,828026723.0
1,113655576.0,586303363.0
1,12934170.0,406230342.0
2,223793551.0,1263455762.0
1,121941601.0,504002250.0
1,154666116.0,377569092.0
2,187704326.0,1294594671.0
2,83099417.0,790601498.0
1,75877723.0,667178010.0
1,84186183.0,209759849.0
1,86486346.0,440278475.0
1,227387301.0,719654870.0
1,178171479.0,851777918.0
2,135283198.0,762971339.0
1,86486427.0,82067439.0
1,27048056.0,523503990.0
1,38455245.0,610241599.0
1,96966908.0,380986673.0
1,146923118.0,822215574.0
1,36170308.0,800846811.0
1,86486342.0,584681777.0
2,306208461.0,1084507475.0
1,268675781.0,903544558.0
1,97510788.0,177275410.0
1,22302198.0,299190812.0
1,153690739.0,475918445.0
1,96927599.0,741591222.0
1,124134538.0,553241501.0
1,17741539.0,392195687.0
3,133921324.0,1589874262.0
1,19844003.0,827748554.0
1,38909541.0,534331423.0
1,26508765.0,756680328.0
2,263499203.0,954616231.0
1,104913291.0,787705056.0
2,44902009.0,1411749025.0
1,55798418.0,615411712.0
2,60516141.0,1593788012.0
1,126952514.0,205434854.0
1,36035839.0,251747623.0
1,124987854.0,396220624.0
1,92957058.0,578357828.0
1,92966863.0,311497910.0
1,97742605.0,642643911.0
1,58005746.0,699222101.0
2,48515304.0,1126198437.0
1,103462937.0,704296528.0
1,151730806.0,903438457.0
2,202135024.0,994865033.0
1,16795313.0,680465109.0
1,58705174.0,244515262.0
1,31447861.0,487817858.0
1,159105834.0,363426291.0
1,17299009.0,93126515.0
2,28914805.0,877939510.0
1,105414877.0,832513137.0
1,86486299.0,865482964.0
3,179246022.0,1523764879.0
2,64262481.0,413858392.0
1,168369085.0,379137921.0
1,85756641.0,546265833.0
1,129428062.0,110823269.0
3,533482747.0,1476088179.0
1,30681915.0,850022647.0
2,84050023.0,632744673.0
1,261063850.0,785531969.0
2,363977704.0,782198975.0
1,54456227.0,408004436.0
2,377514781.0,1265959811.0
2,191429589.0,521487633.0
2,267072568.0,657020868.0
1,168900071.0,717499703.0
1,56135159.0,395885422.0
2,69938964.0,478692120.0
5,460280783.0,1923160549.0
2,201090581.0,540815566.0
1,105377111.0,274050935.0
2,146349843.0,945337731.0
1,134464144.0,337566027.0
2,265379221.0,897087551.0
1,86486377.0,839343732.0
1,254389463.0,113076568.0
1,66433171.0,900340902.0
1,86424662.0,781258236.0
1,86486322.0,309108019.0
1,106117953.0,295017796.0
2,208647303.0,1155571633.0
1,86486442.0,502646416.0
4,361466795.0,1924095281.0
1,245779855.0,585267384.0
1,70320261.0,116225709.0
2,90396576.0,900663626.0
2,198680691.0,1309828860.0
2,34885629.0,1078981223.0
2,78189869.0,539408988.0
1,356207044.0,384279837.0
1,84403831.0,139978005.0
1,95330157.0,369139374.0
1,170382598.0,674308866.0
1,71605606.0,461662229.0
1,100376744.0,507047442.0
2,147148317.0,1045321374.0
1,13715880.0,652456915.0
1,86486267.0,320798954.0
1,61106589.0,132412641.0
1,83892420.0,898950713.0
2,46919176.0,1502292101.0
1,86486336.0,320207032.0
1,25196208.0,609992455.0
1,65499269.0,297541759.0
1,86356068.0,631014976.0
1,86486280.0,734820647.0
2,415194657.0,837073653.0
2,78589880.0,777494970.0
1,253606928.0,657697139.0
2,247408090.0,930514905.0
1,178255520.0,884850752.0
1,13599350.0,779195539.0
1,180232541.0,135076751.0
2,68707825.0,1341815131.0
1,142845541.0,341810587.0
1,18668697.0,97809692.0
3,367130218.0,1422400876.0
1,108612075.0,729772357.0
2,24801285.0,755379637.0
1,155152909.0,364327295.0
1,252307194.0,305731650.0
1,76661018.0,408551523.0
1,56514551.0,136720948.0
1,49256103.0,330681151.0
1,86200996.0,209196781.0
1,21055623.0,671374845.0
2,106981694.0,1074274542.0
1,126830043.0,834319685.0
1,86609202.0,773224633.0
2,214131102.0,767901353.0
1,108901685.0,538496574.0
1,85613512.0,252699578.0
1,29206828.0,406348602.0
3,443552289.0,2123433388.0
2,169331827.0,1175815353.0
3,371749741.0,1344887649.0
1,42499900.0,756735963.0
1,122461131.0,466891851.0
1,179078193.0,795750444.0
1,224827572.0,439914119.0
1,139994956.0,749940716.0
1,244845073.0,869424691.0
1,90577230.0,834312543.0
1,82027526.0,340299924.0
1,57578937.0,198859629.0
1,86486355.0,719585133.0
3,302398456.0,1756268473.0
1,55308848.0,472120447.0
1,7906664.0,611700074.0
1,78424132.0,575521301.0
2,309289121.0,887477527.0
1,94450682.0,752154443.0
1,95631999.0,644440869.0
1,327682698.0,839055617.0
1,13867488.0,122950839.0
1,23055511.0,911646172.0
1,86486397.0,229362571.0
2,96372456.0,1245717733.0
1,19289364.0,113531583.0
1,22060648.0,372915320.0
1,97670842.0,614294423.0
1,153684888.0,911876664.0
1,175610242.0,533923475.0
1,161049823.0,239270295.0
1,44894349.0,258856727.0
1,13982366.0,206499513.0
4,442069217.0,2591690933.0
2,383743075.0,1491254882.0
1,130941804.0,728558374.0
1,86486317.0,647412744.0
2,47205989.0,816830960.0
1,154922667.0,628441626.0
1,86486347.0,258506293.0
1,47778665.0,208369604.0
1,63092320.0,608218821.0
1,94521902.0,920784504.0
1,34729515.0,116841488.0
1,307353018.0,663408799.0
1,70766049.0,141736598.0
3,705753244.0,1516223538.0
1,92063530.0,325336012.0
1,93842427.0,225751000.0
3,355657393.0,1464454791.0
1,129604220.0,821022701.0
2,184713703.0,928795438.0
2,203605681.0,672715105.0
2,246084384.0,1700082194.0
2,160462712.0,1486021974.0
1,166630285.0,139901474.0
1,88594774.0,188330223.0
1,29978175.0,650378848.0
1,18931073.0,668164753.0
1,135313992.0,764300199.0
1,166300226.0,174653240.0
2,52218099.0,1193701021.0
1,145387025.0,489831919.0
1,98570696.0,588938487.0
2,86887244.0,1187412509.0
1,219442341.0,424622407.0
1,40303987.0,390112090.0
1,38542183.0,339616950.0
1,52530591.0,900610946.0
2,120420104.0,1587337140.0
1,176198355.0,178330679.0
1,128046764.0,334691441.0
2,82673518.0,1315473749.0
2,176636592.0,1335339310.0
1,86867591.0,437461975.0
2,294075735.0,891842854.0
1,45213376.0,346317918.0
2,102397578.0,838494582.0
1,86235856.0,636078842.0
2,146589550.0,921079874.0
1,15589074.0,770545876.0
1,41605170.0,243883884.0
1,17375351.0,868143871.0
2,91697578.0,1307441490.0
1,84615169.0,373583831.0
1,23948511.0,638700866.0
1,49702111.0,77619160.0
2,41700095.0,1147058634.0
